ciiu_version_fuente,codigo_fuente_2dig,grupo_rev4_homologado,descripcion_grupo_rev4_homologado,seccion_rev4_homologada,tipo_homologacion,calidad_homologacion,incluir_sector_industrial_rev4,notas_homologacion
Rev.3,30,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,grupo_compatible_rev4,alta,si,Rev3 30 y Rev3 32-33 convergen parcialmente en Rev4 26; se usa grupo amplio.
Rev.3,31,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,grupo_compatible_rev4,alta,si,Rev4 33 reparacion e instalacion puede provenir de varias divisiones Rev3; se agrega con metal/equipos.
Rev.3,32,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,grupo_compatible_rev4,alta,si,Rev3 30 y Rev3 32-33 convergen parcialmente en Rev4 26; se usa grupo amplio.
Rev.3,33,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,grupo_compatible_rev4,alta,si,Rev3 30 y Rev3 32-33 convergen parcialmente en Rev4 26; se usa grupo amplio.
Rev.3,34,29_30_vehiculos_transporte,Vehiculos y otros equipos de transporte,C,grupo_compatible_rev4,media,si,Rev3 34-35 se agregan por la publicacion agrupada de 2001.
Rev.3,35,29_30_vehiculos_transporte,Vehiculos y otros equipos de transporte,C,grupo_compatible_rev4,media,si,Rev3 34-35 se agregan por la publicacion agrupada de 2001.
Rev.3,36,31_32_muebles_otras_manufacturas,Muebles y otras manufacturas,C,grupo_compatible_rev4,media,si,Rev3 36 se abre en Rev4 31 y 32; se mantiene agregado.
Rev.3,37,38_recuperacion_materiales_fuera_c,Recuperacion de materiales fuera de manufactura Rev4,E,salida_de_manufactura_rev4,alta,no,Rev3 reciclado sale de manufactura en Rev4; se conserva trazabilidad pero no integra C Rev4.
Rev.4,10,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con 2001 y agrupaciones publicadas.
Rev.4,11,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con 2001 y agrupaciones publicadas.
Rev.4,12,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con 2001 y agrupaciones publicadas.
Rev.4,13,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con 2001.
Rev.4,14,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con 2001.
Rev.4,15,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con 2001.
Rev.4,16,16_madera,Madera y productos de madera,C,uno_a_uno,baja,si,Division Rev4 conservada como grupo.
Rev.4,17,17_18_papel_impresion,Papel impresion y reproduccion,C,agregacion_rev4_para_compatibilidad,media,si,Agregado Rev4 definido para compatibilidad con Rev3 21-22.
Rev.4,18,17_18_papel_impresion,Papel impresion y reproduccion,C,agregacion_rev4_para_compatibilidad,media,si,Agregado Rev4 definido para compatibilidad con Rev3 21-22.
Rev.4,19,19_refinacion,Coque y refinacion de petroleo,C,uno_a_uno,baja,si,Division Rev4 conservada como grupo.
Rev.4,20,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con Rev3 24-25.
Rev.4,21,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con Rev3 24-25.
Rev.4,22,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con Rev3 24-25.
Rev.4,23,23_24_minerales_metales,Minerales no metalicos y metales comunes,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con 2001.
Rev.4,24,23_24_minerales_metales,Minerales no metalicos y metales comunes,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con 2001.
Rev.4,25,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,agregacion_rev4_para_compatibilidad,media,si,Grupo amplio definido por reubicacion de reparacion e instalacion en Rev4 33.
Rev.4,26,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,agregacion_rev4_para_compatibilidad,media,si,Grupo amplio definido por reubicacion de reparacion e instalacion en Rev4 33.
Rev.4,27,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,agregacion_rev4_para_compatibilidad,media,si,Grupo amplio definido por reubicacion de reparacion e instalacion en Rev4 33.
Rev.4,28,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,agregacion_rev4_para_compatibilidad,media,si,Grupo amplio definido por reubicacion de reparacion e instalacion en Rev4 33.
Rev.4,33,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,agregacion_rev4_para_compatibilidad,alta,si,Rev4 33 se agrega con metal/equipos para evitar quiebre artificial hacia atras.
Rev.4,29,29_30_vehiculos_transporte,Vehiculos y otros equipos de transporte,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con 2001.
Rev.4,30,29_30_vehiculos_transporte,Vehiculos y otros equipos de transporte,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con 2001.
Rev.4,31,31_32_muebles_otras_manufacturas,Muebles y otras manufacturas,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con Rev3 36.
Rev.4,32,31_32_muebles_otras_manufacturas,Muebles y otras manufacturas,C,agregacion_rev4_para_compatibilidad,baja,si,Agregado Rev4 definido para compatibilidad con Rev3 36.
