anno,fecha_tipo_cambio,dolar_usa_compra_dic_ine,dolar_usa_venta_dic_ine,stock_ciu_mill_usd_corriente,stock_ciu_indice_dic_2008_100,stock_eaae_total_activos_industria_uyu_corriente,stock_eaae_construcciones_industria_uyu_corriente,stock_eaae_maquinaria_equipos_industria_uyu_corriente,stock_eaae_maquinaria_equipos_refinacion_uyu_corriente,stock_eaae_maquinaria_equipos_sin_refinacion_uyu_corriente,stock_eaae_maquinaria_equipos_sin_refinacion_mill_usd_corriente,ratio_eaae_ciu_stock_usd_corriente_pct,deflactor_bcu_proxy_sin_refinacion_2005,stock_eaae_maquinaria_equipos_sin_refinacion_mill_usd_constante_2005_proxy,stock_eaae_maquinaria_equipos_sin_refinacion_indice_2008_100,ratio_indice_eaae_ciu_2008_pct,stock_total_panel_industria_uyu_corriente,diferencia_stock_total_extraido_panel_uyu,metodo_eaae_stock,fuente_tipo_cambio,fuente_deflactor,fuente_ciu,nota_metodologica,archivo_eaae_stock
2012,2012-12-31,19.15,19.65,2371.47,137,118070224347.510681,33558828550.509995,71512157691.246948,20374509343,51137648348.246948,2602.424852,109.73889,1.634633,1253.862313,75.260315,54.934537,118070224347.510681,0,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7_2012.xls
2013,2013-12-31,21.1,21.65,2579.19,149,130303268121.312241,38641507427.644569,70673530560.734787,15430050905,55243479655.734787,2551.661878,98.932683,1.708156,1296.232982,77.803521,52.217128,130303268121.312256,-0.000015,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7_2013.xls
2014,2014-12-31,24.05,24.65,2838.84,164,198429417562.733856,60147311070.203911,121334176277.437286,18606076364,102728099913.437286,4167.468556,146.801812,1.970182,2089.836576,125.437824,76.486478,198429417562.733917,-0.000061,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7_2014.xls
2015,2015-12-31,29.4,30.3,2890.77,167,207813793849.166016,61796151901.770203,129623948556.635437,16550136544,113073812012.635437,3731.808977,129.093943,2.121571,2136.160706,128.218327,76.777441,207813793849.165985,0.000031,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7_2015.xls
2016,2016-12-30,28.93,29.66,2994.63,173,218824498043.520142,69954291539.650604,131379997506.126465,14477511565,116902485941.126465,3941.418946,131.616225,2.193923,2135.658114,128.18816,74.097203,218824498043.520172,-0.000031,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",Encuesta de Actividad Económica 2016/EAE_C7_2016.xls
2017,2017-12-29,28.41,29.16,2890.77,167,209773097223.23999,69691773985.279999,125400345692.649994,13733433243,111666912449.649994,3829.455159,132.471804,1.956554,2287.505001,137.302434,82.217027,209773097223.23999,0,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",Encuesta de Actividad Económica 2017/EAE_C7_2017.xls
2018,2018-12-31,31.7,33.1,2890.77,167,230944653073.89743,77255106749.244232,136050173097.241577,12692595354,123357577743.241577,3726.815038,128.921188,2.251168,2196.27786,131.826727,78.93816,230944653073.89743,0,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",Encuesta de Actividad Económica 2018/EAE_C7_2018.xls
2019,2019-12-31,36.65,38.15,2873.46,166,259048160897,84573415781,144607938537,11710041791,132897896746,3483.562169,121.232318,2.454944,2169.731666,130.23335,78.453825,259048160897,0,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",Encuesta de Actividad Económica 2019/EAE_C7_2019.xls
2020,2020-12-31,41.25,43.65,2856.15,165,296322600807.052124,112512383001.4841,149033491448.719177,10892642513,138140848935.719177,3164.738807,110.804363,2.558949,2163.664889,129.869205,78.708609,296322600807.052063,0.000061,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7_2020.xls
2021,2021-12-31,43.5,45.9,2890.77,167,377193985828.289001,178428500492.659546,159066255980.633545,11015888801,148050367179.633545,3225.498196,111.579205,3.111964,1906.796605,114.451254,68.533685,377193985828.289001,0,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7_2021.xls
2022,2022-12-30,38.6,41,2786.91,161,392603477898.925964,204304264202.494995,148956538453.316406,10437183942,138519354511.316406,3378.520842,121.2282,3.310975,1676.810691,100.646857,62.513576,392603477898.926025,-0.000061,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7_2022.xls
2023,2023-12-29,37.9,40.3,2717.67,157,402462792005.25354,98255905131.982452,262713011254.970886,9537420877,253175590377.970886,6282.272714,231.163928,3.214185,3157.041959,189.494469,120.697114,402462792005.253479,0.000061,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7_2023.xls
2024,2024-12-31,42.7,45.2,2717.67,157,436965957591.824158,162972469295.738922,228218818569.160553,12016676669,216202141900.160553,4783.233228,176.004932,3.305757,2621.310435,157.338368,100.215521,436965957591.824097,0.000061,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7_2024.xls
