anno,seccion,grupo_rev4_homologado,descripcion_grupo_rev4_homologado,seccion_rev4_homologada,incluir_sector_industrial_rev4,ciiu_version_fuente,seccion_fuente,epoca,codigos_fuente_incluidos,divisiones_publicadas_incluidas,n_filas_fuente,tipo_homologacion,calidad_homologacion,notas_homologacion,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo
2002,C,23_24_minerales_metales,Minerales no metalicos y metales comunes,C,si,Rev.3,D,2,26|27,26|27,2,grupo_compatible_rev4,media,Rev3 26-27 se agregan por la publicacion agrupada de 2001.,2397195835.0,,861792106.0,,412971915.0,2998.0
2002,C,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,si,Rev.3,D,2,28|29|30|31|32|33,28|29|30|31|32|33,6,grupo_compatible_rev4,alta,Rev3 30 y Rev3 32-33 convergen parcialmente en Rev4 26; se usa grupo amplio.|Rev4 33 reparacion e instalacion puede provenir de varias divisiones Rev3; se agrega con metal/equipos.,3511601124.0,,1458342586.0,,662671499.0,6706.0
2002,C,29_30_vehiculos_transporte,Vehiculos y otros equipos de transporte,C,si,Rev.3,D,2,34|35,34|35,2,grupo_compatible_rev4,media,Rev3 34-35 se agregan por la publicacion agrupada de 2001.,2469058195.0,,707263257.0,,272352509.0,1867.0
2002,C,31_32_muebles_otras_manufacturas,Muebles y otras manufacturas,C,si,Rev.3,D,2,36,36,1,grupo_compatible_rev4,media,Rev3 36 se abre en Rev4 31 y 32; se mantiene agregado.,924595825.0,,276514662.0,,142651665.0,1783.0
2002,C,38_recuperacion_materiales_fuera_c,Recuperacion de materiales fuera de manufactura Rev4,E,no,Rev.3,D,2,37,37,1,salida_de_manufactura_rev4,alta,Rev3 reciclado sale de manufactura en Rev4; se conserva trazabilidad pero no integra C Rev4.,4749341.0,,1598653.0,,561187.0,29.0
2003,C,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,si,Rev.3,D,2,15|16,15|16,2,grupo_compatible_rev4,media,Rev3 15 se abre en Rev4 10 y 11; se agrega con tabaco por restricciones publicadas en 2001 y en varios anos Rev4.|Rev3 16 corresponde a Rev4 12; se agrega con alimentos y bebidas por compatibilidad larga.,63158444847.0,,16188607774.0,,4622224490.0,37385.0
2003,C,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,si,Rev.3,D,2,17|18|19,17|18|19,3,grupo_compatible_rev4,media,Rev3 17-19 se agregan por la publicacion agrupada de 2001.,19385164811.0,,4923021598.0,,1476100719.0,14528.0
2003,C,16_madera,Madera y productos de madera,C,si,Rev.3,D,2,20,20,1,uno_a_uno_aproximado,baja,Correspondencia principal Rev3 20 a Rev4 16.,2619292753.0,,949273708.0,,145081236.0,1810.0
2003,C,17_18_papel_impresion,Papel impresion y reproduccion,C,si,Rev.3,D,2,21|22,21|22,2,grupo_compatible_rev4|parcial_con_cambio_de_seccion,alta,Rev3 22 incluye edicion/publicacion que en Rev4 pasa fuera de manufactura; se mantiene grupo con advertencia.,6370072324.0,,2492058992.0,,924424967.0,6047.0
2003,C,19_refinacion,Coque y refinacion de petroleo,C,si,Rev.3,D,2,23,23,1,uno_a_uno_aproximado,media,Correspondencia principal Rev3 23 a Rev4 19.,20621189349.0,,7353007136.0,,275503878.0,840.0
2003,C,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,si,Rev.3,D,2,24|25,24|25,2,grupo_compatible_rev4,alta,Rev3 24 se abre en Rev4 20 y 21; se agrega con caucho y plastico por restricciones publicadas en 2001.|Rev3 25 corresponde a Rev4 22; se agrega con quimicos/farmaceuticos por compatibilidad larga.,15401769005.0,,5338389312.0,,1762307462.0,8737.0
2003,C,23_24_minerales_metales,Minerales no metalicos y metales comunes,C,si,Rev.3,D,2,26|27,26|27,2,grupo_compatible_rev4,media,Rev3 26-27 se agregan por la publicacion agrupada de 2001.,3637285170.0,,1302480782.0,,538997433.0,3346.0
2003,C,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,si,Rev.3,D,2,28|29|30|31|32|33,28|29|30|31|32|33,6,grupo_compatible_rev4,alta,Rev3 30 y Rev3 32-33 convergen parcialmente en Rev4 26; se usa grupo amplio.|Rev4 33 reparacion e instalacion puede provenir de varias divisiones Rev3; se agrega con metal/equipos.,4759036717.0,,1849494931.0,,730378023.0,7101.0
2003,C,29_30_vehiculos_transporte,Vehiculos y otros equipos de transporte,C,si,Rev.3,D,2,34|35,34|35,2,grupo_compatible_rev4,media,Rev3 34-35 se agregan por la publicacion agrupada de 2001.,2179364425.0,,694662070.0,,255765434.0,1787.0
2003,C,31_32_muebles_otras_manufacturas,Muebles y otras manufacturas,C,si,Rev.3,D,2,36,36,1,grupo_compatible_rev4,media,Rev3 36 se abre en Rev4 31 y 32; se mantiene agregado.,1213990202.0,,404919962.0,,147404525.0,1746.0
2003,C,38_recuperacion_materiales_fuera_c,Recuperacion de materiales fuera de manufactura Rev4,E,no,Rev.3,D,2,37,37,1,salida_de_manufactura_rev4,alta,Rev3 reciclado sale de manufactura en Rev4; se conserva trazabilidad pero no integra C Rev4.,4336697.0,,1445709.0,,601459.0,29.0
2004,C,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,si,Rev.3,D,2,15|16,15|16,2,grupo_compatible_rev4,media,Rev3 15 se abre en Rev4 10 y 11; se agrega con tabaco por restricciones publicadas en 2001 y en varios anos Rev4.|Rev3 16 corresponde a Rev4 12; se agrega con alimentos y bebidas por compatibilidad larga.,79535592449.0,,20302619269.0,,4976726147.0,38569.0
2004,C,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,si,Rev.3,D,2,17|18|19,17|18|19,3,grupo_compatible_rev4,media,Rev3 17-19 se agregan por la publicacion agrupada de 2001.,20005845197.0,,5240342595.0,,1636739633.0,15655.0
2004,C,16_madera,Madera y productos de madera,C,si,Rev.3,D,2,20,20,1,uno_a_uno_aproximado,baja,Correspondencia principal Rev3 20 a Rev4 16.,3421375010.0,,834966476.0,,180506962.0,2151.0
2004,C,17_18_papel_impresion,Papel impresion y reproduccion,C,si,Rev.3,D,2,21|22,21|22,2,grupo_compatible_rev4|parcial_con_cambio_de_seccion,alta,Rev3 22 incluye edicion/publicacion que en Rev4 pasa fuera de manufactura; se mantiene grupo con advertencia.,7373903876.0,,2562378181.0,,989966309.0,6547.0
2004,C,19_refinacion,Coque y refinacion de petroleo,C,si,Rev.3,D,2,23,23,1,uno_a_uno_aproximado,media,Correspondencia principal Rev3 23 a Rev4 19.,33235018744.0,,11804301261.0,,361068168.0,940.0
2004,C,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,si,Rev.3,D,2,24|25,24|25,2,grupo_compatible_rev4,alta,Rev3 24 se abre en Rev4 20 y 21; se agrega con caucho y plastico por restricciones publicadas en 2001.|Rev3 25 corresponde a Rev4 22; se agrega con quimicos/farmaceuticos por compatibilidad larga.,19058080481.0,,5961813794.0,,2026419107.0,9720.0
2004,C,23_24_minerales_metales,Minerales no metalicos y metales comunes,C,si,Rev.3,D,2,26|27,26|27,2,grupo_compatible_rev4,media,Rev3 26-27 se agregan por la publicacion agrupada de 2001.,5108493625.0,,2178654312.0,,616285016.0,3689.0
2004,C,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,si,Rev.3,D,2,28|29|31|32|33,28|29|31|32|33,5,grupo_compatible_rev4,alta,Rev3 30 y Rev3 32-33 convergen parcialmente en Rev4 26; se usa grupo amplio.|Rev4 33 reparacion e instalacion puede provenir de varias divisiones Rev3; se agrega con metal/equipos.,6345727939.0,,2300573588.0,,834292348.0,6800.0
2004,C,29_30_vehiculos_transporte,Vehiculos y otros equipos de transporte,C,si,Rev.3,D,2,34|35,34|35,2,grupo_compatible_rev4,media,Rev3 34-35 se agregan por la publicacion agrupada de 2001.,3136680584.0,,840197992.0,,320467014.0,2220.0
2004,C,31_32_muebles_otras_manufacturas,Muebles y otras manufacturas,C,si,Rev.3,D,2,36,36,1,grupo_compatible_rev4,media,Rev3 36 se abre en Rev4 31 y 32; se mantiene agregado.,1785363327.0,,593976836.0,,196519307.0,2344.0
2004,C,38_recuperacion_materiales_fuera_c,Recuperacion de materiales fuera de manufactura Rev4,E,no,Rev.3,D,2,37,37,1,salida_de_manufactura_rev4,alta,Rev3 reciclado sale de manufactura en Rev4; se conserva trazabilidad pero no integra C Rev4.,4368293.0,,1229431.0,,445346.0,18.0
2005,C,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,si,Rev.3,D,2,15|16,15|16,2,grupo_compatible_rev4,media,Rev3 15 se abre en Rev4 10 y 11; se agrega con tabaco por restricciones publicadas en 2001 y en varios anos Rev4.|Rev3 16 corresponde a Rev4 12; se agrega con alimentos y bebidas por compatibilidad larga.,81023848046.0,,21338275858.0,,5938940238.0,43924.0
2005,C,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,si,Rev.3,D,2,17|18|19,17|18|19,3,grupo_compatible_rev4,media,Rev3 17-19 se agregan por la publicacion agrupada de 2001.,18048715158.0,,4633708027.0,,1968221778.0,19339.0
2005,C,16_madera,Madera y productos de madera,C,si,Rev.3,D,2,20,20,1,uno_a_uno_aproximado,baja,Correspondencia principal Rev3 20 a Rev4 16.,3477371580.0,,788719262.0,,254903103.0,2637.0
2005,C,17_18_papel_impresion,Papel impresion y reproduccion,C,si,Rev.3,D,2,21|22,21|22,2,grupo_compatible_rev4|parcial_con_cambio_de_seccion,alta,Rev3 22 incluye edicion/publicacion que en Rev4 pasa fuera de manufactura; se mantiene grupo con advertencia.,7655893734.0,,2821648979.0,,1189170828.0,7148.0
2005,C,19_refinacion,Coque y refinacion de petroleo,C,si,Rev.3,D,2,23,23,1,uno_a_uno_aproximado,media,Correspondencia principal Rev3 23 a Rev4 19.,35220904774.0,,11095635900.0,,447888275.0,865.0
2005,C,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,si,Rev.3,D,2,24|25,24|25,2,grupo_compatible_rev4,alta,Rev3 24 se abre en Rev4 20 y 21; se agrega con caucho y plastico por restricciones publicadas en 2001.|Rev3 25 corresponde a Rev4 22; se agrega con quimicos/farmaceuticos por compatibilidad larga.,20030028297.0,,6113057297.0,,2310824188.0,10744.0
2005,C,23_24_minerales_metales,Minerales no metalicos y metales comunes,C,si,Rev.3,D,2,26|27,26|27,2,grupo_compatible_rev4,media,Rev3 26-27 se agregan por la publicacion agrupada de 2001.,6220101783.0,,2741841553.0,,733607736.0,4179.0
2005,C,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,si,Rev.3,D,2,28|29|30|31|32|33,28|29|30|31|32|33,6,grupo_compatible_rev4,alta,Rev3 30 y Rev3 32-33 convergen parcialmente en Rev4 26; se usa grupo amplio.|Rev4 33 reparacion e instalacion puede provenir de varias divisiones Rev3; se agrega con metal/equipos.,7657664806.0,,2847084932.0,,1155796497.0,8603.0
2005,C,29_30_vehiculos_transporte,Vehiculos y otros equipos de transporte,C,si,Rev.3,D,2,34|35,34|35,2,grupo_compatible_rev4,media,Rev3 34-35 se agregan por la publicacion agrupada de 2001.,3688965329.0,,1103103255.0,,362144814.0,2344.0
2005,C,31_32_muebles_otras_manufacturas,Muebles y otras manufacturas,C,si,Rev.3,D,2,36,36,1,grupo_compatible_rev4,media,Rev3 36 se abre en Rev4 31 y 32; se mantiene agregado.,1781756856.0,,494188627.0,,244067303.0,2508.0
2005,C,38_recuperacion_materiales_fuera_c,Recuperacion de materiales fuera de manufactura Rev4,E,no,Rev.3,D,2,37,37,1,salida_de_manufactura_rev4,alta,Rev3 reciclado sale de manufactura en Rev4; se conserva trazabilidad pero no integra C Rev4.,57211380.0,,14497016.0,,9668639.0,123.0
2006,C,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,si,Rev.3,D,3,15|16,1511|1512|1513|1514|1520|1531|1533|1534|1541|1542|1543|1544|1549|1551|1552|1553|1554|1600,18,grupo_compatible_rev4,media,Rev3 15 se abre en Rev4 10 y 11; se agrega con tabaco por restricciones publicadas en 2001 y en varios anos Rev4.|Rev3 16 corresponde a Rev4 12; se agrega con alimentos y bebidas por compatibilidad larga.,85597285813.39565,,23669718734.06146,,6313874432.229193,31563.17157490397
2006,C,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,si,Rev.3,D,3,17|18|19,1711|1712|1713|1720|1730|1810|1911|1912|1920,9,grupo_compatible_rev4,media,Rev3 17-19 se agregan por la publicacion agrupada de 2001.,16492639446.23,,3309592898.74,,1569497909.0849998,10154.405
2006,C,16_madera,Madera y productos de madera,C,si,Rev.3,D,3,20,2010|2021,2,uno_a_uno_aproximado,baja,Correspondencia principal Rev3 20 a Rev4 16.,4401708971.0,,1449551024.0000002,,295392114.0,1552.0
2006,C,17_18_papel_impresion,Papel impresion y reproduccion,C,si,Rev.3,D,3,21|22,2101|2102|2109|2211|2212,5,grupo_compatible_rev4|parcial_con_cambio_de_seccion,alta,Rev3 22 incluye edicion/publicacion que en Rev4 pasa fuera de manufactura; se mantiene grupo con advertencia.,6555170526.0,,2701979064.0,,953522487.0000001,3746.0
2006,C,19_refinacion,Coque y refinacion de petroleo,C,si,Rev.3,D,3,23,2320,1,uno_a_uno_aproximado,media,Correspondencia principal Rev3 23 a Rev4 19.,33627383326.0,,10965325129.0,,490441095.0,882.0
2006,C,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,si,Rev.3,D,3,24|25,2411|2412|2413|2421|2422|2423|2424|2429|2511|2519|2520,11,grupo_compatible_rev4,alta,Rev3 24 se abre en Rev4 20 y 21; se agrega con caucho y plastico por restricciones publicadas en 2001.|Rev3 25 corresponde a Rev4 22; se agrega con quimicos/farmaceuticos por compatibilidad larga.,18859063772.316666,,5138176452.723333,,2209499012.9266663,6743.55
2006,C,23_24_minerales_metales,Minerales no metalicos y metales comunes,C,si,Rev.3,D,3,26|27,2610|2691|2694|2695|2699|2700,6,grupo_compatible_rev4,media,Rev3 26-27 se agregan por la publicacion agrupada de 2001.,8121570114.61111,,3431273775.8333335,,928176308.4444444,3154.8333333333335
2006,C,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,si,Rev.3,D,3,28|29|30|31|32|33,2811|2812|2890|2910|2920|2930|3000|3100|3200|3300,10,grupo_compatible_rev4,alta,Rev3 30 y Rev3 32-33 convergen parcialmente en Rev4 26; se usa grupo amplio.|Rev4 33 reparacion e instalacion puede provenir de varias divisiones Rev3; se agrega con metal/equipos.,5188763973.196428,,1648431350.9642856,,707705757.1071428,3525.892857142857
2006,C,29_30_vehiculos_transporte,Vehiculos y otros equipos de transporte,C,si,Rev.3,D,3,34|35,3400|3510|3590,3,grupo_compatible_rev4,media,Rev3 34-35 se agregan por la publicacion agrupada de 2001.,4978143265.375,,1477828259.75,,378510303.0,1649.0
2006,C,31_32_muebles_otras_manufacturas,Muebles y otras manufacturas,C,si,Rev.3,D,3,36,3610|3699,2,grupo_compatible_rev4,media,Rev3 36 se abre en Rev4 31 y 32; se mantiene agregado.,1167954007.0,,209828990.0,,125191509.0,862.0
2006,C,38_recuperacion_materiales_fuera_c,Recuperacion de materiales fuera de manufactura Rev4,E,no,Rev.3,D,3,37,3700,1,salida_de_manufactura_rev4,alta,Rev3 reciclado sale de manufactura en Rev4; se conserva trazabilidad pero no integra C Rev4.,49914530.0,,15822020.0,,10500091.0,96.0
2007,C,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,si,Rev.3,D,3,15|16,1511|1512|1513|1514|1520|1531|1533|1534|1541|1542|1543|1544|1549|1551|1552|1553|1554|1600,18,grupo_compatible_rev4,media,Rev3 15 se abre en Rev4 10 y 11; se agrega con tabaco por restricciones publicadas en 2001 y en varios anos Rev4.|Rev3 16 corresponde a Rev4 12; se agrega con alimentos y bebidas por compatibilidad larga.,102706668228.53448,,29768245445.92652,,7508686984.670593,42333.656322023046
2007,C,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,si,Rev.3,D,3,17|18|19,1711|1712|1713|1720|1730|1810|1911|1912|1920,9,grupo_compatible_rev4,media,Rev3 17-19 se agregan por la publicacion agrupada de 2001.,21639907542.228333,,5038127986.331666,,2484155503.7316666,16398.651666666665
2007,C,16_madera,Madera y productos de madera,C,si,Rev.3,D,3,20,2010|2021|2029,3,uno_a_uno_aproximado,baja,Correspondencia principal Rev3 20 a Rev4 16.,4563134545.333333,,1369603741.5,,450376066.5,3257.833333333333
2007,C,17_18_papel_impresion,Papel impresion y reproduccion,C,si,Rev.3,D,3,21|22,2101|2102|2109|2211|2212,5,grupo_compatible_rev4|parcial_con_cambio_de_seccion,alta,Rev3 22 incluye edicion/publicacion que en Rev4 pasa fuera de manufactura; se mantiene grupo con advertencia.,10026049059.166666,,4147076261.6666665,,1705751068.125,6849.875
2007,C,19_refinacion,Coque y refinacion de petroleo,C,si,Rev.3,D,3,23,2320,1,uno_a_uno_aproximado,media,Correspondencia principal Rev3 23 a Rev4 19.,36265009558.0,,12148763185.0,,581189657.0,939.0
2007,C,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,si,Rev.3,D,3,24|25,2411|2412|2413|2421|2422|2423|2424|2429|2511|2519|2520,11,grupo_compatible_rev4,alta,Rev3 24 se abre en Rev4 20 y 21; se agrega con caucho y plastico por restricciones publicadas en 2001.|Rev3 25 corresponde a Rev4 22; se agrega con quimicos/farmaceuticos por compatibilidad larga.,27501513692.251667,,7397878821.8,,3249822315.5499997,11268.601666666666
2007,C,23_24_minerales_metales,Minerales no metalicos y metales comunes,C,si,Rev.3,D,3,26|27,2610|2691|2692|2694|2695|2699|2700,7,grupo_compatible_rev4,media,Rev3 26-27 se agregan por la publicacion agrupada de 2001.,10891328679.37296,,4221302716.937645,,1258301670.7210567,4826.740093240093
2007,C,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,si,Rev.3,D,3,28|29|30|31|32|33,2811|2812|2890|2910|2920|2930|3000|3100|3200|3300,10,grupo_compatible_rev4,alta,Rev3 30 y Rev3 32-33 convergen parcialmente en Rev4 26; se usa grupo amplio.|Rev4 33 reparacion e instalacion puede provenir de varias divisiones Rev3; se agrega con metal/equipos.,11927816317.941666,,3892295152.4267855,,1722052478.375,8904.4875
2007,C,29_30_vehiculos_transporte,Vehiculos y otros equipos de transporte,C,si,Rev.3,D,3,34|35,3400|3510|3530|3590,4,grupo_compatible_rev4,media,Rev3 34-35 se agregan por la publicacion agrupada de 2001.,7770125530.75,,2045907291.0,,673203803.25,3270.0
2007,C,31_32_muebles_otras_manufacturas,Muebles y otras manufacturas,C,si,Rev.3,D,3,36,3610|3691|3699,3,grupo_compatible_rev4,media,Rev3 36 se abre en Rev4 31 y 32; se mantiene agregado.,1908887861.1666667,,572401497.6666666,,324597241.0,2316.1666666666665
2007,C,38_recuperacion_materiales_fuera_c,Recuperacion de materiales fuera de manufactura Rev4,E,no,Rev.3,D,3,37,3700,1,salida_de_manufactura_rev4,alta,Rev3 reciclado sale de manufactura en Rev4; se conserva trazabilidad pero no integra C Rev4.,193560058.5,,60045901.0,,17695428.5,211.0
2008,C,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,si,Rev.4,C,4,10|11|12,10|11|12,3,agregacion_rev4_para_compatibilidad,baja,Agregado Rev4 definido para compatibilidad con 2001 y agrupaciones publicadas.,132460685995.33192,,38210020381.193924,,10946541821.17479,49250.844472749915
2008,C,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,si,Rev.4,C,4,13|14|15,13|14|15,3,agregacion_rev4_para_compatibilidad,baja,Agregado Rev4 definido para compatibilidad con 2001.,18064717262.246117,,4764231093.573978,,2631373949.890104,15865.208583905009
2008,C,16_madera,Madera y productos de madera,C,si,Rev.4,C,4,16,16,1,uno_a_uno,baja,Division Rev4 conservada como grupo.,9721312152.176365,,1226715543.282945,,666260021.4963124,3336.819352294534
2008,C,17_18_papel_impresion,Papel impresion y reproduccion,C,si,Rev.4,C,4,17|18,17|18,2,agregacion_rev4_para_compatibilidad,media,Agregado Rev4 definido para compatibilidad con Rev3 21-22.,22134295579.498055,,10796590728.07648,,1474159098.069805,5288.209314823196
2008,C,19_refinacion,Coque y refinacion de petroleo,C,si,Rev.4,C,4,19,19,1,uno_a_uno,baja,Division Rev4 conservada como grupo.,41700433194.0,,5053278165.0,,625390785.0,1014.0
2008,C,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,si,Rev.4,C,4,20|21|22,20|21|22,3,agregacion_rev4_para_compatibilidad,baja,Agregado Rev4 definido para compatibilidad con Rev3 24-25.,31515160267.093998,,10009931294.771877,,3818858190.383876,11277.264892580668
2008,C,23_24_minerales_metales,Minerales no metalicos y metales comunes,C,si,Rev.4,C,4,23|24,23|24,2,agregacion_rev4_para_compatibilidad,baja,Agregado Rev4 definido para compatibilidad con 2001.,11380812935.656286,,3738447479.767748,,1274672742.8975763,4536.554213963365
2008,C,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,si,Rev.4,C,4,25|26|27|28|33,25|26|27|28|33,5,agregacion_rev4_para_compatibilidad,alta,Grupo amplio definido por reubicacion de reparacion e instalacion en Rev4 33.|Rev4 33 se agrega con metal/equipos para evitar quiebre artificial hacia atras.,9811121231.79088,,3659322913.1437063,,1775832797.408401,7915.077210865471
2008,C,29_30_vehiculos_transporte,Vehiculos y otros equipos de transporte,C,si,Rev.4,C,4,29|30,29|30,2,agregacion_rev4_para_compatibilidad,baja,Agregado Rev4 definido para compatibilidad con 2001.,5648363605.748798,,1837034951.8556304,,503149111.46549726,1983.8997405607065
2008,C,31_32_muebles_otras_manufacturas,Muebles y otras manufacturas,C,si,Rev.4,C,4,31|32,31|32,2,agregacion_rev4_para_compatibilidad,baja,Agregado Rev4 definido para compatibilidad con Rev3 36.,2558791096.341797,,996638792.5693426,,574917756.0878211,3434.808025297266
2009,C,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,si,Rev.4,C,4,10|11|12,10|11|12,3,agregacion_rev4_para_compatibilidad,baja,Agregado Rev4 definido para compatibilidad con 2001 y agrupaciones publicadas.,128088331186.42355,,36033939748.66936,,13045560957.47858,49735.92426507988
